Sexo,Edad,2016T1,2015T4,2015T3,2015T2,2015T1,2014T4,2014T3,2014T2,2014T1,2013T4,2013T3,2013T2,2013T1,2012T4,2012T3,2012T2,2012T1,2011T4,2011T3,2011T2,2011T1,2010T4,2010T3,2010T2,2010T1,2009T4,2009T3,2009T2,2009T1,2008T4,2008T3,2008T2,2008T1,2007T4,2007T3,2007T2,2007T1,2006T4,2006T3,2006T2,2006T1,2005T4,2005T3,2005T2,2005T1,2004T4,2004T3,2004T2,2004T1,2003T4,2003T3,2003T2,2003T1,2002T4,2002T3,2002T2,2002T1,
Hombres,<25,45.66,45.39,46.65,50.04,52.56,51.57,52.33,53.78,56.04,55.55,53.96,56.34,59.08,55.87,52.74,54.26,53.78,50.25,47.01,48.12,47.38,44.46,41.43,43.28,43.25,40.85,39.36,39.97,36.22,29.56,23.67,21.91,19.34,16.53,15.18,15.12,14.08,14.1,13.88,15.33,16.73,16.04,14.98,17.37,18.55,17.72,18.44,19.44,19.39,19.62,19.08,19.16,20.15,20.15,18.67,16.82,18.37,
Hombres,>25,17.66,17.67,17.86,18.88,20.61,20.74,20.22,21.47,23.1,22.71,22.85,23.06,24.11,23.02,22.13,22.02,21.57,19.95,18.54,18.02,18.28,17.59,16.97,17.27,17.57,16.37,15.3,15.2,14.79,11.14,8.69,7.61,6.6,5.78,5.15,5.08,5.43,5.16,5.04,5.29,5.66,5.56,5.43,6.13,6.45,6.58,6.83,6.89,7.29,7.11,6.9,6.8,7.21,7.06,6.83,6.6,6.93,
Hombres,16<19,66.16,62.49,61.51,66.49,68.93,63.28,62.91,68.71,68.25,74.85,70.69,68.75,75.26,72.95,71.28,72.97,71.05,69.19,61.47,63.92,64.08,62.37,58.95,60.59,58.92,56.78,53.12,56.7,52.73,44.69,35.53,35.22,28.5,26.76,22.93,24.2,21.99,25.44,19.8,25.22,25.66,23.47,22.04,26.26,26.7,24.4,26.71,27.49,27.69,27.52,26.22,29.41,29.06,26.76,26.53,24.09,24.09,
Hombres,20<24,41.53,41.93,43.11,46.49,49.25,49.27,50.16,50.79,53.66,51.56,50.09,53.61,55.57,52.58,48.43,49.87,50.08,46.18,43.16,44.4,43.49,40.35,36.84,38.55,39.03,36.66,35.24,34.94,31.48,25.3,19.8,17.79,16.49,13.37,12.53,12.06,11.67,10.67,11.88,12.46,14.23,13.91,12.69,14.67,16.09,15.81,15.84,17.24,17.21,17.41,17.0,16.2,17.69,18.18,16.21,14.75,16.73,
Hombres,25<54,17.77,17.68,17.99,19.11,20.96,20.89,20.44,21.85,23.6,23.23,23.43,23.68,24.88,23.86,22.97,22.89,22.33,20.6,19.19,18.67,18.98,18.08,17.47,17.82,18.32,17.05,16.0,15.9,15.63,11.77,9.11,7.88,6.8,5.9,5.24,5.14,5.55,5.28,5.15,5.37,5.71,5.62,5.53,6.12,6.58,6.63,6.99,7.03,7.52,7.35,7.01,6.99,7.4,7.21,6.98,6.75,7.08,
Hombres,>55,17.12,17.63,17.2,17.71,18.81,19.94,19.04,19.4,20.3,19.74,19.52,19.47,19.64,18.16,17.26,16.92,17.03,16.11,14.56,14.05,13.93,14.57,13.92,13.88,12.9,12.14,10.92,10.89,9.55,7.23,6.09,5.92,5.34,5.06,4.58,4.71,4.66,4.45,4.38,4.76,5.31,5.17,4.81,6.15,5.62,6.25,5.76,5.97,5.76,5.6,6.19,5.52,6.0,6.04,5.89,5.6,6.0,
Mujeres,<25,47.49,47.24,46.5,48.29,49.96,52.07,52.47,52.35,54.85,54.14,54.35,55.55,54.46,53.66,51.18,51.69,49.35,45.77,43.97,43.35,42.93,40.75,39.56,40.4,37.74,36.36,37.64,35.72,34.71,28.26,24.8,25.7,23.3,21.34,21.18,21.96,22.42,22.44,20.73,21.69,21.17,21.93,21.88,23.98,25.88,26.0,25.86,26.39,26.97,27.35,26.3,26.42,27.7,27.14,26.53,27.67,27.02,
Mujeres,>25,21.14,20.81,20.81,22.21,23.21,22.7,22.86,23.38,24.45,24.38,23.8,24.42,25.05,23.98,22.76,21.95,22.3,20.88,19.54,18.79,19.67,18.55,18.14,18.28,18.11,17.0,15.63,16.09,15.85,13.26,10.88,10.39,10.51,9.52,8.91,8.86,9.84,9.68,9.52,9.82,10.78,10.02,9.4,10.26,11.73,12.77,12.68,13.41,13.92,13.67,13.86,14.05,15.06,14.24,14.49,14.16,14.59,
Mujeres,16<19,61.24,70.97,66.77,73.23,72.46,72.04,71.38,72.75,72.72,76.43,73.93,79.11,76.18,75.06,72.69,73.46,71.94,69.11,58.92,60.79,67.02,65.42,61.42,64.38,60.48,58.64,54.08,55.38,56.43,47.35,42.17,48.75,39.31,37.5,33.28,37.05,36.39,39.81,32.66,38.96,35.38,34.23,34.27,38.1,39.35,36.92,33.95,39.89,40.06,39.71,40.03,42.13,41.98,40.22,36.3,38.45,35.22,
Mujeres,20<24,45.23,43.2,42.65,43.94,46.02,48.44,48.83,49.09,51.96,50.22,50.2,51.51,51.02,50.12,46.85,47.45,45.15,41.73,40.76,39.75,38.59,36.09,34.97,35.12,33.27,32.43,33.74,31.32,29.62,23.56,19.81,19.47,19.27,17.33,17.72,18.07,19.12,18.2,17.56,17.04,17.8,18.97,18.69,20.42,23.1,23.7,24.14,23.64,24.23,24.76,23.21,23.08,24.8,24.52,24.4,25.37,25.12,
Mujeres,25<54,21.82,21.39,21.21,22.9,24.09,23.48,23.55,23.94,25.29,25.2,24.61,25.25,25.79,24.84,23.58,22.65,23.15,21.7,20.31,19.56,20.44,19.27,18.78,18.95,18.68,17.5,15.99,16.48,16.32,13.59,11.19,10.71,10.76,9.78,9.09,9.07,10.02,9.96,9.77,10.17,11.19,10.4,9.74,10.53,12.05,13.25,12.99,13.79,14.42,14.14,14.26,14.56,15.68,14.7,14.91,14.61,15.08,
Mujeres,>55,17.42,17.65,18.53,18.12,17.87,17.92,18.54,19.86,19.05,19.0,18.42,18.81,19.97,18.0,17.17,17.13,16.17,15.0,14.07,13.03,13.81,13.0,13.09,12.84,13.51,12.92,12.66,12.9,11.9,10.5,8.2,7.6,8.34,7.21,7.29,7.03,8.2,7.14,7.19,6.64,7.05,6.48,6.21,7.75,8.7,7.93,9.58,9.63,8.83,8.84,9.74,8.83,8.46,9.29,9.98,9.44,9.36,